201798; Achse A_1_ DRV_3.14:3 (17), Komponente NX_104 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 01.04.2020 06:22:52.5800000; 01.04.2020 06:22:53.6460000
201798; Achse X_1_ DRV_3.3:3 (11), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 01.04.2020 06:22:52.5800000; 01.04.2020 06:22:53.7410000
201798; Achse Y_1_ DRV_3.3:5 (12), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 01.04.2020 06:22:52.5800000; 01.04.2020 06:22:53.7570000
201798; Achse Z_1_ DRV_3.3:4 (13), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 01.04.2020 06:22:52.5800000; 01.04.2020 06:22:53.7730000
201798; Achse SP1 DRV_3.3:7 (18), Komponente NCU_01 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 01.04.2020 06:22:52.5800000; 01.04.2020 06:22:53.7890000
27002; Achse ZM1_ Teststop läuft; sinumerik_alarm_nck; 01.04.2020 06:22:52.9420000; 01.04.2020 06:22:53.1460000
27002; Achse Y_2_ Teststop läuft; sinumerik_alarm_nck; 01.04.2020 06:22:52.9420000; 01.04.2020 06:22:53.1460000
27002; Achse ES1_ Teststop läuft; sinumerik_alarm_nck; 01.04.2020 06:22:52.9440000; 01.04.2020 06:22:53.1480000
27002; Achse E_1_ Teststop läuft; sinumerik_alarm_nck; 01.04.2020 06:22:52.9440000; 01.04.2020 06:22:53.1480000
27002; Achse Q_1_ Teststop läuft; sinumerik_alarm_nck; 01.04.2020 06:22:52.9460000; 01.04.2020 06:22:53.1500000
27002; Achse EL1_ Teststop läuft; sinumerik_alarm_nck; 01.04.2020 06:22:52.9460000; 01.04.2020 06:22:53.1500000
201798; Achse Q_1_ DRV_3.15:2 (22), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 01.04.2020 06:22:52.9370000; 01.04.2020 06:22:54.0810000
201798; Achse EL1_ DRV_3.15:4 (24), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 01.04.2020 06:22:52.9370000; 01.04.2020 06:22:54.0970000
201798; Achse ES1_ DRV_3.15:6 (26), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 01.04.2020 06:22:52.9370000; 01.04.2020 06:22:54.1130000
201798; Achse E_1_ DRV_3.15:5 (28), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 01.04.2020 06:22:52.9370000; 01.04.2020 06:22:54.1290000
201798; Achse ZM1_ DRV_3.15:3 (30), Komponente NX_105 (1):SI Motion P1 (CU): Teststopp für Bewegungsüberwachungen läuft.; fhy101011_05103400; 01.04.2020 06:22:52.9370000; 01.04.2020 06:22:54.1450000
16927; Kanal 2: Aktion 'Wechsel in Handbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:17:53.8410000; 01.04.2020 07:17:56.7150000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:30:59.8940000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:30:59.9700000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:00.1020000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:00.3020000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:00.5100000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:00.7100000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:00.9100000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:01.1100000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:01.3100000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:01.5100000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:01.7100000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:01.9100000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:02.1180000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:02.3180000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:02.5260000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:02.6940000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:02.8940000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:03.0940000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:03.3030000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:03.5030000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:03.7110000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:03.9110000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:04.1190000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:04.3190000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:04.5270000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:04.6950000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:04.9030000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:05.1030000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:05.3030000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:05.5110000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:05.7190000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:05.9190000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:06.1270000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:06.2950000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:06.5030000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:06.7030000; 01.04.2020 07:31:07.0740000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:06.9120000; 01.04.2020 07:31:07.0740000
16927; Kanal 2: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 07:31:07.2000000; 01.04.2020 07:31:17.7090000
754987; Q1-Achse: Mag. 1/1 in Rasterposition zur Beladestelle   fehlt; sinumerik_alarm_plc_pmc; 01.04.2020 07:32:25.3800000; 01.04.2020 07:32:36.5250000
16907; Kanal 3: Aktion 'Wechsel in Handbetriebsart' nur im Stop-Zustand möglich; sinumerik_alarm_nck; 01.04.2020 08:13:46.7210000; 01.04.2020 08:15:53.3370000
700208; Achtung: Durch Satzsuchlauf erfolgte Programmanwahl manuell! Programm fortsetzen mit NC-Start; sinumerik_alarm_plc_pmc; 01.04.2020 11:14:27.9670000; 01.04.2020 11:15:28.8260000
10208; Kanal 1: Zur Programmfortsetzung NC-Start geben; sinumerik_alarm_nck; 01.04.2020 11:14:47.4410000; 01.04.2020 11:14:52.4960000
67329; Werkzeug-Magazin: Q-Achse nicht in Position  ==>> Kanal 3 Satz N216800; sinumerik_alarm_nck; 01.04.2020 12:39:36.2730000; 01.04.2020 12:39:50.1690000
511303; SET-Alarm von NC Kanal 3 aktiv; sinumerik_alarm_plc_pmc; 01.04.2020 12:39:36.4550000; 01.04.2020 12:39:50.1200000
61303; Kanal 1: Satz N697728: Vertrauensbereich überschritten ; sinumerik_alarm_nck; 01.04.2020 12:46:15.3410000; 01.04.2020 12:50:39.6090000
700208; Achtung: Durch Satzsuchlauf erfolgte Programmanwahl manuell! Programm fortsetzen mit NC-Start; sinumerik_alarm_plc_pmc; 01.04.2020 12:52:10.6930000; 01.04.2020 12:52:59.1740000
10208; Kanal 1: Zur Programmfortsetzung NC-Start geben; sinumerik_alarm_nck; 01.04.2020 12:52:23.9160000; 01.04.2020 12:52:46.3780000
754954; ZMag.: Ziel Magazin 1/1 Platz gleich Position der Q-Achse   fehlt; sinumerik_alarm_plc_pmc; 01.04.2020 12:57:42.7330000; 01.04.2020 12:57:48.8820000
754985; Q1-Achse steht   fehlt; sinumerik_alarm_plc_pmc; 01.04.2020 12:57:42.7330000; 01.04.2020 12:57:48.8830000
754986; Q1-Achse: Genauhalt fein   fehlt; sinumerik_alarm_plc_pmc; 01.04.2020 12:57:42.7340000; 01.04.2020 12:57:48.8830000
754987; Q1-Achse: Mag. 1/1 in Rasterposition zur Beladestelle   fehlt; sinumerik_alarm_plc_pmc; 01.04.2020 12:57:42.7340000; 01.04.2020 12:57:48.8830000
700208; Achtung: Durch Satzsuchlauf erfolgte Programmanwahl manuell! Programm fortsetzen mit NC-Start; sinumerik_alarm_plc_pmc; 01.04.2020 13:00:19.5800000; 01.04.2020 13:01:03.6020000
10208; Kanal 1: Zur Programmfortsetzung NC-Start geben; sinumerik_alarm_nck; 01.04.2020 13:00:21.0200000; 01.04.2020 13:00:24.7060000
754942; Beladestelle Scheibenmagazin aktiv   fehlt; sinumerik_alarm_plc_pmc; 01.04.2020 13:09:06.3190000; 01.04.2020 13:09:23.8200000
700208; Achtung: Durch Satzsuchlauf erfolgte Programmanwahl manuell! Programm fortsetzen mit NC-Start; sinumerik_alarm_plc_pmc; 01.04.2020 13:15:09.6580000; 01.04.2020 13:15:54.6330000
10208; Kanal 1: Zur Programmfortsetzung NC-Start geben; sinumerik_alarm_nck; 01.04.2020 13:15:11.0640000; 01.04.2020 13:15:17.3830000
700208; Achtung: Durch Satzsuchlauf erfolgte Programmanwahl manuell! Programm fortsetzen mit NC-Start; sinumerik_alarm_plc_pmc; 01.04.2020 13:57:36.0170000; 01.04.2020 13:58:33.4830000
10208; Kanal 1: Zur Programmfortsetzung NC-Start geben; sinumerik_alarm_nck; 01.04.2020 13:57:52.6380000; 01.04.2020 13:57:56.8400000
66341; Werkzeug 3627815: Schneiden-Länge > Länge der Hüllkurve  ==>> Kanal 3 Satz N2195; sinumerik_alarm_nck; 01.04.2020 13:57:59.3240000; 01.04.2020 13:58:05.1910000
511303; SET-Alarm von NC Kanal 3 aktiv; sinumerik_alarm_plc_pmc; 01.04.2020 13:57:59.3850000; 01.04.2020 13:58:33.4090000
700208; Achtung: Durch Satzsuchlauf erfolgte Programmanwahl manuell! Programm fortsetzen mit NC-Start; sinumerik_alarm_plc_pmc; 01.04.2020 13:58:46.1350000; 01.04.2020 13:59:38.3210000
10208; Kanal 1: Zur Programmfortsetzung NC-Start geben; sinumerik_alarm_nck; 01.04.2020 13:58:48.5340000; 01.04.2020 13:58:51.6240000
10751; Kanal 1: Satz N4245 Kollisionsgefahr bei Werkzeugradiuskorrektur; sinumerik_alarm_nck; 01.04.2020 13:58:56.7340000; 01.04.2020 13:59:45.6270000
700208; Achtung: Durch Satzsuchlauf erfolgte Programmanwahl manuell! Programm fortsetzen mit NC-Start; sinumerik_alarm_plc_pmc; 01.04.2020 14:00:36.6660000; 01.04.2020 14:01:12.7650000
10208; Kanal 1: Zur Programmfortsetzung NC-Start geben; sinumerik_alarm_nck; 01.04.2020 14:00:58.3170000; 01.04.2020 14:01:01.3100000
16923; Kanal 1: Programmbeeinflussung: Aktion 'Aktive Verarbeitung anhalten' im aktuellen Zustand nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 14:11:49.3600000; 01.04.2020 14:12:12.0760000
510223; Satzsuchlauf gestartet und Maschine nicht auf Transportfreigabe - Crashgefahr!; sinumerik_alarm_plc_pmc; 01.04.2020 14:11:49.4220000; 01.04.2020 14:12:13.0390000
700208; Achtung: Durch Satzsuchlauf erfolgte Programmanwahl manuell! Programm fortsetzen mit NC-Start; sinumerik_alarm_plc_pmc; 01.04.2020 14:12:34.5050000; 01.04.2020 14:13:10.9910000
10208; Kanal 1: Zur Programmfortsetzung NC-Start geben; sinumerik_alarm_nck; 01.04.2020 14:12:56.6260000; 01.04.2020 14:13:00.7760000
704351; max. Werkzeuglänge in Spindel 1 kleiner als Schneidenlänge; sinumerik_alarm_plc_pmc; 01.04.2020 14:15:37.1380000; 01.04.2020 14:15:46.5090000
700208; Achtung: Durch Satzsuchlauf erfolgte Programmanwahl manuell! Programm fortsetzen mit NC-Start; sinumerik_alarm_plc_pmc; 01.04.2020 14:16:03.7480000; 01.04.2020 14:16:42.2080000
10208; Kanal 1: Zur Programmfortsetzung NC-Start geben; sinumerik_alarm_nck; 01.04.2020 14:16:25.7590000; 01.04.2020 14:16:29.8970000
700208; Achtung: Durch Satzsuchlauf erfolgte Programmanwahl manuell! Programm fortsetzen mit NC-Start; sinumerik_alarm_plc_pmc; 01.04.2020 14:39:33.6730000; 01.04.2020 14:40:13.7750000
10208; Kanal 1: Zur Programmfortsetzung NC-Start geben; sinumerik_alarm_nck; 01.04.2020 14:39:55.9350000; 01.04.2020 14:40:00.8570000
67301; Toolcheck 1 (BKM9) nicht in Grundstellung  ==>> Kanal 3 Satz N163100; sinumerik_alarm_nck; 01.04.2020 14:40:45.6890000; 01.04.2020 14:40:56.3780000
510219; SET-Alarm von NC Kanal 1 aktiv; sinumerik_alarm_plc_pmc; 01.04.2020 14:40:45.8220000; 01.04.2020 14:40:59.1370000
511303; SET-Alarm von NC Kanal 3 aktiv; sinumerik_alarm_plc_pmc; 01.04.2020 14:40:45.8220000; 01.04.2020 14:40:59.1370000
700208; Achtung: Durch Satzsuchlauf erfolgte Programmanwahl manuell! Programm fortsetzen mit NC-Start; sinumerik_alarm_plc_pmc; 01.04.2020 14:41:49.5200000; 01.04.2020 14:42:26.5800000
10208; Kanal 1: Zur Programmfortsetzung NC-Start geben; sinumerik_alarm_nck; 01.04.2020 14:41:59.6770000; 01.04.2020 14:42:07.7080000
20140; Kanal 1: Verfahren der Kommandoachse ZM/ZM1_ siehe NC Alarm 20070 Parameter 1802; sinumerik_alarm_nck; 01.04.2020 15:08:26.3210000; 01.04.2020 15:09:23.0510000
15350; Kanal 1: Satz 1289 Suchziel nicht gefunden; sinumerik_alarm_nck; 01.04.2020 15:10:34.9090000; 01.04.2020 15:10:37.6940000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 16:06:12.8700000; 01.04.2020 16:06:14.8510000
